Rank, Name, Company, Worth
629, Jiang Rensheng, None, 3600.0
629, Edward Johnson, IV., None, 3600.0
629, Elizabeth Johnson, None, 3600.0
629, Peter Kellogg, None, 3600.0
629, Lim Sung-Ki, None, 3600.0
629, Friedhelm Loh, None, 3600.0
629, Kiran Mazumdar-Shaw, None, 3600.0
629, Idan Ofer, None, 3600.0
629, Karsanbhai Patel, None, 3600.0
629, Qin Yinglin, None, 3600.0
629, Qiu Guanghe, None, 3600.0
629, Sarath Ratanavadi, None, 3600.0
629, Rodger Riney, None, 3600.0
629, Steven Spielberg, None, 3600.0
629, Gabriele Volkmann, None, 3600.0
629, Arne Wilhelmsen, None, 3600.0
629, Xu Jingren, None, 3600.0
629, Zhang Li, None, 3600.0
629, Zhang Xin, None, 3600.0
629, Anita Zucker, None, 3600.0
652, Carlo Benetton, None, 3500.0
652, Gilberto Benetton, None, 3500.0
652, Giuliana Benetton, None, 3500.0
652, Luciano Benetton, None, 3500.0
652, Chen Bang, None, 3500.0
652, Kuldip Singh & Gurbachan Singh Dhingra, None, 3500.0
652, Abilio dos Santos Diniz, None, 3500.0
652, Bernard Ecclestone, None, 3500.0
652, Judy Faulkner, None, 3500.0
652, Gao Tianguo, None, 3500.0
652, Joshua Harris, None, 3500.0
652, Arthur Irving, None, 3500.0
652, Baba Kalyani, None, 3500.0
652, Dmitry Kamenshchik, None, 3500.0
652, Douglas Leone, None, 3500.0
652, Edwin Leong, None, 3500.0
652, Arnon Milchan, None, 3500.0
652, Maren Otto, None, 3500.0
652, Anthony Pritzker, None, 3500.0
652, Jay Robert (J.B.) Pritzker, None, 3500.0
652, Mitchell Rales, None, 3500.0
652, Kjell Inge Rokke, None, 3500.0
652, Bernard Saul, II., None, 3500.0
652, Donald Sterling, None, 3500.0
652, Tahir, None, 3500.0
652, Chairul Tanjung, None, 3500.0
652, Clemens Toennies, None, 3500.0
679, Somphote Ahunai, None, 3400.0
679, Igor Altushkin, None, 3400.0
679, Riley Bechtel, None, 3400.0
679, Stephen Bechtel, Jr., None, 3400.0
679, Mike Cannon-Brookes, None, 3400.0
679, Rafael Del Pino y Calvo-Sotelo, None, 3400.0
679, Antonio Del Valle Ruiz, None, 3400.0
679, Scott Farquhar, None, 3400.0
679, Lindsay Fox, None, 3400.0
679, Jimmy Haslam, None, 3400.0
679, Heidi Horten, None, 3400.0
679, Min Kao, None, 3400.0
679, Melissa Ma, None, 3400.0
679, Rudolf Maag, None, 3400.0
679, Alexander Ponomarenko, None, 3400.0
679, Carlos Rodriguez-Pastor, None, 3400.0
679, Shashi & Ravi Ruia, None, 3400.0
679, Teddy Sagi, None, 3400.0
679, Shaul Shani, None, 3400.0
679, Alexander Skorobogatko, None, 3400.0
679, Sun Guangxin, None, 3400.0
679, Rita Tong Liu, None, 3400.0
679, Juan-Miguel Villar Mir, None, 3400.0
679, Steve Wynn, None, 3400.0
703, Anil Agarwal, None, 3300.0
703, Abdulla Al Futtaim, None, 3300.0
703, John Arnold, None, 3300.0
